count,bits,backend,boundary,correctness,warmup,reps,trials,median_ms,iqr_ms,trial_median_min_ms,trial_median_max_ms,spread_ratio,spread_p90_p10,stable,unstable_rev2,speedup_vs_c,speedup_low,speedup_high,speedup_ci_low,speedup_ci_high,verdict,boundary_inversion,direction_supported,magnitude_supported,claim_supported_rev2
524288,8,cuda,host-origin,passed,1349,30,24,0.689850,0.019825,0.673100,0.705050,1.0475,1.0278,true,false,17.5124,17.1249,18.3004,17.4336,17.7250,faster,false,true,true,true
1048576,4,cpu,comparator,passed,43,30,24,23.498000,0.041975,23.486100,23.545950,1.0025,1.0007,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
1048576,4,cuda,resident,passed,5528,30,24,0.193200,0.003200,0.189000,0.195800,1.0360,1.0154,true,false,121.6253,119.9494,124.5817,121.0589,121.6904,faster,false,true,true,true
1048576,4,cuda,resident-graph,passed,10505,30,24,0.097300,0.000100,0.097200,0.097300,1.0010,1.0009,true,false,241.5005,241.3782,242.2423,241.4836,241.5162,faster,false,true,true,true
1048576,4,cuda,host-origin,passed,992,30,24,1.013250,0.015100,1.009850,1.024750,1.0148,1.0113,true,false,23.1907,22.9189,23.3163,23.0937,23.2237,faster,false,true,true,true
1048576,8,cpu,comparator,passed,42,30,24,23.974850,0.040550,23.965750,23.995250,1.0012,1.0006,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
1048576,8,cuda,resident,passed,5149,30,24,0.209600,0.026200,0.191450,0.221150,1.1551,1.0855,true,false,114.3838,108.3688,125.3343,113.3709,115.8760,faster,false,true,true,true
1048576,8,cuda,resident-graph,passed,10071,30,24,0.101300,0.000125,0.101300,0.101400,1.0010,1.0010,true,false,236.6718,236.3486,236.8731,236.5579,236.7167,faster,false,true,true,true
1048576,8,cuda,host-origin,passed,884,30,24,1.124000,0.026800,1.110950,1.145850,1.0314,1.0244,true,false,21.3299,20.9153,21.5989,21.2140,21.4382,faster,false,true,true,true
2097152,4,cpu,comparator,passed,22,30,24,47.025100,0.171675,46.995050,47.219000,1.0048,1.0018,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
2097152,4,cuda,resident,passed,3979,30,24,0.264600,0.004100,0.257700,0.273300,1.0605,1.0206,true,false,177.7215,171.9541,183.2324,177.1183,179.0021,faster,false,true,true,true
2097152,4,cuda,resident-graph,passed,6143,30,24,0.164800,0.000100,0.164800,0.164900,1.0006,1.0006,true,false,285.3465,284.9912,286.5231,285.2127,285.4422,faster,false,true,true,true
2097152,4,cuda,host-origin,passed,556,30,24,1.793500,0.022300,1.784850,1.835100,1.0282,1.0174,true,false,26.2197,25.6090,26.4554,26.2026,26.2492,faster,false,true,true,true
2097152,8,cpu,comparator,passed,21,30,24,47.689550,0.089875,47.676950,47.749450,1.0015,1.0007,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
2097152,8,cuda,resident,passed,3853,30,24,0.296400,0.022350,0.269350,0.307650,1.1422,1.0646,true,false,160.8959,154.9714,177.2766,160.2936,162.5631,faster,false,true,true,true
2097152,8,cuda,resident-graph,passed,5886,30,24,0.171000,0.000025,0.171000,0.171050,1.0003,1.0000,true,false,278.8863,278.7311,279.2365,278.8520,278.9105,faster,false,true,true,true
2097152,8,cuda,host-origin,passed,514,30,24,1.943600,0.035650,1.932850,2.128750,1.1014,1.0180,true,false,24.5367,22.3967,24.7042,24.5224,24.5676,faster,false,true,true,true
4194304,4,cpu,comparator,passed,11,30,24,94.117350,0.276575,94.042350,94.199350,1.0017,1.0012,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
4194304,4,cuda,resident,passed,2591,30,24,0.425600,0.006125,0.401000,0.428600,1.0688,1.0139,true,false,221.1404,219.4175,234.9111,220.6374,221.2646,faster,false,true,true,true
4194304,4,cuda,resident-graph,passed,3356,30,24,0.300000,0.000100,0.300000,0.300100,1.0003,1.0001,true,false,313.7245,313.3700,313.9978,313.6750,313.7883,faster,false,true,true,true
4194304,4,cuda,host-origin,passed,304,30,24,3.289450,0.044325,3.256200,3.361850,1.0324,1.0098,true,false,28.6119,27.9734,28.9292,28.5453,28.7416,faster,false,true,true,true
4194304,8,cpu,comparator,passed,11,30,24,95.082050,0.281725,94.986600,95.259050,1.0029,1.0017,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
4194304,8,cuda,resident,passed,2457,30,24,0.422450,0.004000,0.419350,0.425600,1.0149,1.0078,true,false,225.0729,223.1828,227.1588,224.5537,225.5407,faster,false,true,true,true
4194304,8,cuda,resident-graph,passed,3120,30,24,0.324600,0.001100,0.324600,0.324650,1.0002,1.0000,true,false,292.9207,292.5815,293.4660,292.7278,293.0887,faster,false,true,true,true
4194304,8,cuda,host-origin,passed,278,30,24,3.605350,0.048725,3.595450,3.762850,1.0466,1.0066,true,false,26.3725,25.2433,26.4943,26.3556,26.3963,faster,false,true,true,true
8388608,4,cpu,comparator,passed,10,30,24,188.336100,0.600650,188.056800,188.739050,1.0036,1.0026,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
8388608,4,cuda,resident,passed,1374,30,24,0.738800,0.004825,0.735850,0.743250,1.0101,1.0049,true,false,254.9216,253.0196,256.4912,254.7382,255.2948,faster,false,true,true,true
8388608,4,cuda,resident-graph,passed,1583,30,24,0.635800,0.002000,0.633800,0.635950,1.0034,1.0032,true,false,296.2191,295.7100,297.7896,296.0989,297.0376,faster,false,true,true,true
8388608,4,cuda,host-origin,passed,157,30,24,6.340250,0.069050,6.315650,6.501950,1.0295,1.0074,true,false,29.7048,28.9231,29.8843,29.6880,29.7615,faster,false,true,true,true
8388608,8,cpu,comparator,passed,10,30,24,189.564900,0.365425,189.484450,189.677500,1.0010,1.0006,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
8388608,8,cuda,resident,passed,1268,30,24,0.777900,0.021300,0.769500,0.796250,1.0348,1.0293,true,false,243.6880,237.9711,246.4945,239.3170,244.9603,faster,false,true,true,true
8388608,8,cuda,resident-graph,passed,1494,30,24,0.670700,0.002000,0.670700,0.673650,1.0044,1.0031,true,false,282.6374,281.2803,282.8053,282.2583,282.6792,faster,false,true,true,true
8388608,8,cuda,host-origin,passed,143,30,24,6.962450,0.074825,6.936000,7.007200,1.0103,1.0075,true,false,27.2268,27.0414,27.3468,27.1488,27.2380,faster,false,true,true,true
16777216,4,cpu,comparator,passed,10,30,24,376.515450,1.431825,376.004150,377.589150,1.0042,1.0027,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
16777216,4,cuda,resident,passed,739,30,24,1.379700,0.015150,1.363000,1.386050,1.0169,1.0133,true,false,272.8966,271.2775,277.0280,272.6289,273.1455,faster,false,true,true,true
16777216,4,cuda,resident-graph,passed,800,30,24,1.256500,0.004000,1.254400,1.258550,1.0033,1.0030,true,false,299.6542,298.7598,301.0118,299.2616,299.9207,faster,false,true,true,true
16777216,4,cuda,host-origin,passed,81,30,24,12.386650,0.077725,12.327750,12.446700,1.0096,1.0063,true,false,30.3969,30.2091,30.6292,30.3434,30.4378,faster,false,true,true,true
16777216,8,cpu,comparator,passed,10,30,24,379.678450,1.743250,379.034150,380.414350,1.0036,1.0029,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
16777216,8,cuda,resident,passed,683,30,24,1.459650,0.019500,1.448950,1.471850,1.0158,1.0119,true,false,260.1161,257.5223,262.5448,258.7038,260.9055,faster,false,true,true,true
16777216,8,cuda,resident-graph,passed,744,30,24,1.348600,0.004200,1.344500,1.350700,1.0046,1.0043,true,false,281.5353,280.6205,282.9411,281.3451,281.9330,faster,false,true,true,true
16777216,8,cuda,host-origin,passed,74,30,24,13.654150,0.068500,13.594900,13.689600,1.0070,1.0053,true,false,27.8068,27.6877,27.9821,27.7854,27.8517,faster,false,true,true,true
33554432,4,cpu,comparator,passed,10,30,24,755.186850,2.824800,754.317600,756.373550,1.0027,1.0021,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
